item_id,price,quantity,sold,title,totalSoldQuantity,url,img,titleUnderIconList
599081346094,199.00,0,4769,女装 精纺美利奴罗纹两翻领针织衫(长袖) 418673 优衣库UNIQLO,6761,//detail.m.tmall.com/item.htm?id=599081346094,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN015omMom1ewH4jp2Kl9_!!0-item_pic.jpg,[]
594904408366,199.00,0,4691,女装 高腰棉质前排扣长裙 421919 优衣库UNIQLO,19815,//detail.m.tmall.com/item.htm?id=594904408366,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01FZgTNs1ewH3z0nI0q_!!0-item_pic.jpg,[]
599554978949,99.00,0,7274,女装 HEATTECH摇粒绒两翻领T恤(长袖) 418240 优衣库UNIQLO,9544,//detail.m.tmall.com/item.htm?id=599554978949,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01rQbbtx1ewH4nHGFRD_!!0-item_pic.jpg,[]
603393756786,79.00,0,12355,女装 打褶针织长裙 422690 优衣库UNIQLO,13513,//detail.m.tmall.com/item.htm?id=603393756786,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN018PqYhJ1ewH51QCf20_!!0-item_pic.jpg,[]
597684136636,149.00,0,4801,女装 精纺美利奴宽松V领针织衫(长袖) 421710 优衣库UNIQLO,6596,//detail.m.tmall.com/item.htm?id=597684136636,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN010UbF6Y1ewH4TuizE7_!!0-item_pic.jpg,[]
599967732285,149.00,0,4182,女装/亲子装 (UT) R.A.BY VERDY连帽运动衫(长袖) 421476 优衣库,5866,//detail.m.tmall.com/item.htm?id=599967732285,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01QtBn441ewH4ictiAE_!!0-item_pic.jpg,[]
599081942198,249.00,0,4847,女装 美利奴羊毛混纺罗纹裙 420513 优衣库UNIQLO,6652,//detail.m.tmall.com/item.htm?id=599081942198,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01CsF3nH1ewH54hDdcQ_!!0-item_pic.jpg,[]
604302527240,99.00,0,10374,女装 宽罗纹直筒裤 426083 优衣库UNIQLO,11626,//detail.m.tmall.com/item.htm?id=604302527240,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01FcVu3P1ewH51RQ76H_!!0-item_pic.jpg,[]
603912054070,59.00,0,4724,女装 印花V领上衣(七分袖) 422452 优衣库UNIQLO,5243,//detail.m.tmall.com/item.htm?id=603912054070,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01cAcrRx1ewH52WSUaL_!!0-item_pic.jpg,[]
599272995308,249.00,0,3088,【设计师合作款】女装 针织喇叭裙 422487 优衣库UNIQLO,9757,//detail.m.tmall.com/item.htm?id=599272995308,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01p1NOcX1ewH52Vqryh_!!0-item_pic.jpg,[]
